"","title","category","file_name"
"1","Northern Lights","sci-fi","26905.txt"
"3","Dracula","sci-fi","45839.txt"
"4","Dracula","sci-fi","345.txt"
"5","The Road","sci-fi","14658.txt"
"6","The Martian","sci-fi","27400.txt"
"7","The Martian","sci-fi","40992.txt"
"8","The Time Machine","sci-fi","35.txt"
"9","Timeline","sci-fi","25738.txt"
"10","Christine","sci-fi","32085.txt"
"11","Christine","sci-fi","12683.txt"
"12","The Circle","sci-fi","42395.txt"
"13","Anthem","sci-fi","1250.txt"
"14","The Dark Tower","sci-fi","25829.txt"
"15","The Lost World","sci-fi","139.txt"
"16","The Goose Girl","sci-fi","14598.txt"
"17","The Invisible Man","sci-fi","5230.txt"
"18","The Awakening","sci-fi","50834.txt"
"19","The Awakening","sci-fi","17352.txt"
"24","Cosmos","sci-fi","49631.txt"
"25","The Talisman","sci-fi","44031.txt"
"26","The Talisman","sci-fi","1377.txt"
"27","The Talisman","sci-fi","12458.txt"
"28","The Reckoning","sci-fi","19931.txt"
"29","The Reckoning","sci-fi","25441.txt"
"30","Winter","sci-fi","45390.txt"
"31","Winter","sci-fi","42199.txt"
"32","Forever","sci-fi","29487.txt"
"33","Leviathan","sci-fi","3207.txt"
"35","Morning Star","sci-fi","2722.txt"
"36","Wake","sci-fi","33374.txt"
"37","Dust","sci-fi","945.txt"
"39","Skin Game","sci-fi","31665.txt"
"40","Swan Song","sci-fi","1753.txt"
"41","The Prince","sci-fi","1232.txt"
"42","A Princess of Mars","sci-fi","62.txt"
"43","Plague","sci-fi","43942.txt"
"44","Making Money","sci-fi","33761.txt"
"45","Eric","sci-fi","26952.txt"
"46","Eric","sci-fi","12083.txt"
"47","Bluebeard","sci-fi","3494.txt"
"48","Bluebeard","sci-fi","37464.txt"
"49","Endymion","sci-fi","24280.txt"
"50","Endymion","sci-fi","7926.txt"
"51","Quicksilver","sci-fi","21363.txt"
"52","The Heroes","sci-fi","677.txt"
"53","Whispers","sci-fi","30101.txt"
"54","Tarzan of the Apes","sci-fi","78.txt"
"55","Nevermore","sci-fi","34240.txt"
"57","Outpost","sci-fi","4676.txt"
"58","Light","sci-fi","12904.txt"
"59","The Ruins","sci-fi","1397.txt"
"60","The Terror","sci-fi","35617.txt"
"61","Nightfall","sci-fi","14489.txt"
"62","The Princess and the Goblin","sci-fi","34339.txt"
"63","The Princess and the Goblin","sci-fi","708.txt"
"64","Midnight","sci-fi","11043.txt"
"66","Enchantment","sci-fi","55162.txt"
"67","The Monkey's Paw","sci-fi","12122.txt"
"68","Revolution","sci-fi","23929.txt"
"69","Broken Homes","sci-fi","15420.txt"
"70","California","sci-fi","13001.txt"
"71","California","sci-fi","44764.txt"
"72","Aftermath","sci-fi","13554.txt"
"73","Pathfinder","sci-fi","22924.txt"
"74","The Outcasts","sci-fi","19387.txt"
"75","White Fire","sci-fi","38061.txt"
"76","White Fire","sci-fi","41719.txt"
"77","Rosemary and Rue","sci-fi","36168.txt"
"78","Dawn","sci-fi","5874.txt"
"79","Dawn","sci-fi","10892.txt"
"80","Dawn","sci-fi","4794.txt"
"84","The Mask","sci-fi","20131.txt"
"85","The Long Patrol","sci-fi","45245.txt"
"86","Ozma of Oz","sci-fi","486.txt"
"87","Ozma of Oz","sci-fi","33361.txt"
"88","The Invaders","sci-fi","23535.txt"
"89","The Invaders","sci-fi","31343.txt"
"90","The Gods of Mars","sci-fi","29405.txt"
"91","The Gods of Mars","sci-fi","64.txt"
"92","The Flood","sci-fi","7011.txt"
"93","The Flood","sci-fi","11268.txt"
"94","The King in Yellow","sci-fi","8492.txt"
"95","The Underworld","sci-fi","15503.txt"
